Address,Age of annuitant 1,Age of annuitant 2,Air conditioning,Alarm,As built plan,"As property tenant or owner, insure your real estate: fire, theft, water damage, storm, ...",Asking price excluding VAT and excl. notary fees (excluding eventual registration fees on the ground),Asking price excluding registration fees and excl. notary fees,Attic,Attic accesible with fixed stairs,Available as of,Bathrooms,Bedroom 1 area,Bedroom 2 area,Bedroom 3 area,Bedroom 4 area,Bedroom 5 area,Bedrooms,Building condition,CO₂ emission,Cable TV,Cadastral income,Cellar,Cellar area,Conformity certification for fuel tanks,Connection to sewer network,Current monthly revenue,Depth of plot,Dining room,Dining room area,Disabled access,Distance to school,Distance to shop,Distance to transports,District or place name,Double glazing,Dressing room,EPC - Energy consumption,EPC score,Find the mortgage formula and a borrowing rate that suits you the best!,Fireplaces,Flat land,Furnished,Garden,Garden area,Heat pump,Heating,Indexed annuity,Indoor parking spaces,Inspection report of the electrical installation,Intercom,Isolated attic,Jacuzzi,Kitchen area,Kitchen setup,Latest land use designation,Laundry room,Life annuity type,Lift,Living room,Living room area,Monthly annuity,Monthly charges,Name of the building,Net floor area,Newly built,Number of dwellings,Number of floors,Number of frontages,Number of lives,Number of outbuildings,Number of rooms,Office,Office area,Orientation,Orientation terrace,Outdoor parking spaces,Photovoltaic solar panels,Planning permission obtained,Plot area,Plot to front,Plot to rear,Possible priority purchase right,Proceedings for breach of planning regulations,Reference number of the EPC report,Reinforced door,Requested sale price,Reversionary annuity,Sauna,Setting,Shower rooms,Subdivision permit,Swimming pool,Tenement building,Terrace,Terrace area,Theoretical total energy consumption,Thermic solar panels,"To ensure your payments and your family safety in case of early death, you can take a Decreasing life insurance.",Toilets,Town planning,Type of flood-risk area,Value of the property,Width of plot to street,Width of street façade,Wooded land,Workspace,Workspace area,Year of construction
Tongersesteenweg 205        | 3770 - Riemst,,,,yes,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,18 m2,13 m2,12 m2,,,3,Good condition,,,€ 873,yes,,"yes, conform",,,,yes,12 m2,,"1,991 m",,132 m,,yes,,380 kWh/m2,,Calculate your monthly installment,1,,,,,,Fuel,,2,"yes, conform",yes,,,9 m2,Semi-equipped,Not specified,,,,yes,46 m2,,,,250 m2,,,2,4,,,,,,South,,,,Not specified,"1,880 m2",,,yes,Not specified,20130903-0001435577-00000001-0 HELP,,"€ 299,000",,,Country,,yes,,,yes,,,,Insure your mortgage loan,2,,Possible flood zone,,23.64,15 m,,,,1969
Kerkstraat 122        | 2870 - Puurs,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,28 m2,23 m2,18 m2,,,3,To be renovated,,,"€ 1,110",yes,,,,,47,,,,,,,,yes,,576 kWh/m2,,Calculate your monthly installment,1,,,yes,90 m2,,Gas,,1,"yes, not conform",,,,22 m2,Installed,"Living area (residential, urban or rural)",,,,yes,73 m2,,,,338 m2,,,2,3,,,,yes,9 m2,North-West,,1,,Not specified,470 m2,,,no,no,20161221-0001920721-1 HELP,,"€ 239,000",,,,1,no,,,yes,20 m2,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,10,10 m,,,,1965
Avenue du Putdael 3        | 1150 - Woluwe-Saint-Pierre,,,,yes,Not specified,Choose your home insurance,,,,,01/05/2018,5,26 m2,19 m2,17 m2,15 m2,,4,As new,,yes,"€ 4,858",yes,,,,,,yes,45 m2,,"1,500 m",,,Parc de Woluwe,yes,,304 kWh/m2,,Calculate your monthly installment,,,,yes,674 m2,,Gas,,2,"yes, conform",,,,20 m2,USA Hyper-equipped,"Living area (residential, urban or rural)",,,,yes,32 m2,,,,335 m2,,,2,4,,,,yes,,,,1,,Not specified,794 m2,,,Not specified,Not specified,,yes,"€ 1,590,000",,,Residential,3,Not specified,yes,,yes,50 m2,,,Insure your mortgage loan,5,,Property located in a non-flood zone,,,9·27 m,,,,1950
Elie Aubinaustraat 29        | 1932 - Zaventem,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,14 m2,14 m2,15 m2,14 m2,7 m2,5,To be renovated,,yes,€ 899,yes,,,yes,,,yes,14 m2,,500 m,,,Omgeving Kraainem,,,687 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, not conform",,,,7 m2,Uninstalled,Farming area,,,,yes,14 m2,,,,189 m2,,,2,3,,,,yes,,,,,,Not specified,"1,220 m2",,,Not specified,Not specified,2027637 HELP,,"€ 350,000",,,,1,Not specified,,,,,,,Insure your mortgage loan,1,,,,,6 m,,,,
Dendermondsesteenweg 20        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,13 m2,12 m2,,,,2,Good condition,"1,000 kg CO2/m2",,€ 255,,,,,,24,,,,100 m,230 m,74 m,,yes,,164 kWh/m2,,Calculate your monthly installment,,,,yes,27 m2,,Gas,,,"yes, conform",,,,9 m2,Installed,"Living area (residential, urban or rural)",,,,yes,24 m2,,,,120 m2,,,2,2,,,,yes,5 m2,Northeast,,,,no,115 m2,,,no,no,20170628-0001974098-1 HELP,,"€ 195,000",,,,,no,,,yes,10 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,8,8 m,,,,1918
Lode Sobrystraat 58        | 1800 - Vilvoorde,,,,,Not specified,Choose your home insurance,,,"15,656 m2",,,,23 m2,16 m2,13 m2,,,3,Good condition,,yes,€ 981,yes,6 m2,not specified,,,,yes,,,,,,,yes,,329 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,,,,,10 m2,Installed,"Living area (residential, urban or rural)",,,,yes,,,,,177 m2,,,1,3,,,,,,South,South,,,no,210 m2,,,no,no,20170808-0001983591-1 HELP,,"€ 275,000",,,Residential,,no,,,yes,,,,Insure your mortgage loan,,,Property located in a non-flood zone,,7.8,5·3 m,,,,1950
Rue de la Place 0        | 1360 - Perwez - Grand-Leez,,,,yes,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,25 m2,19 m2,18 m2,11 m2,,4,As new,113 kg CO2/m2,yes,€ 999,yes,16 m2,,yes,,74,yes,31 m2,,,,,Brabant Wallon,yes,,455 kWh/m2,,Calculate your monthly installment,,,,yes,"1,700 m2",,Fuel,,1,"yes, conform",,,,22 m2,USA Installed,"Living area (residential, urban or rural)",,,,yes,128 m2,,,,404 m2,,,3,4,,,,yes,,,,4,,no,"2,066 m2",,,no,no,20130130-0000927983-00000002-0 HELP,,"€ 590,000",,,Residential,,yes,,,yes,130 m2,"250,036 kWh/year",,Insure your mortgage loan,3,,Property located in a non-flood zone,,28,17·2 m,,,,
Rue de la Place 0        | 5030 - Gembloux - Grand-Leez,,,,yes,Not specified,Choose your home insurance,,,,,,1,25 m2,19 m2,18 m2,11 m2,,4,As new,113 kg CO2/m2,yes,€ 999,yes,16 m2,,yes,,74,yes,31 m2,,,,,Province de Namur,yes,,455 kWh/m2,,Calculate your monthly installment,,,,yes,"1,700 m2",,Fuel,,1,"yes, conform",,,,22 m2,USA Installed,"Living area (residential, urban or rural)",,,,yes,128 m2,,,,404 m2,,,3,4,,,,yes,,,,4,,no,"2,066 m2",,,no,no,20130130-0000927983-00000002-0 HELP,,"€ 590,000",,,Residential,,yes,,,yes,130 m2,"250,036 kWh/year",,Insure your mortgage loan,3,,Property located in a non-flood zone,,28,17·2 m,,,,
Rue du Vert Buisson 9 H        | 7951 - Tongre-notre-Dame,,,,,no,Choose your home insurance,,,,,Obligation locative à respecter - Huurovereenkomst,1,13 m2,13 m2,13 m2,,,3,Good condition,86 kg CO2/m2,,€ 516,,,,,,48,,,,"3,000 m","3,000 m",50 m,,yes,,302 kWh/m2,,Calculate your monthly installment,,,,yes,351 m2,,Electric,,1,"yes, conform",,,,8 m2,Installed,"Living area (residential, urban or rural)",,,,yes,23 m2,,,,120 m2,,,,2,,,,,,East,,,,yes,351 m2,,,Not specified,Not specified,20160524030780 HELP,,"€ 195,000",,,,1,Not specified,,,,,"41,040 kWh/year",,Insure your mortgage loan,2,,,,7,7 m,,,,2006
Rue du Château d'Eau 126        | 1180 - Uccle,,,,,,Choose your home insurance,,,,,Immédiatement,4,16 m2,17 m2,10 m2,11 m2,,4,Just renovated,,,,yes,,not specified,yes,,,,,,,,,Lycée Français,,,350 kWh/m2,,Calculate your monthly installment,,,,yes,505 m2,,Gas,,,"yes, conform",,,,,Installed,"Living area (residential, urban or rural)",,,,yes,53 m2,,,,200 m2,,,2,3,,,4,,,East,,1,,Not specified,400 m2,,,no,no,,,"€ 675,000",,,Residential,4,no,,,,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,,,,,2017
Justitiestraat 61 2        | 2018 - Antwerp,,,,,no,Choose your home insurance,,,,,Overeen te komen - A convenir - To be established,1,14 m2,7 m2,,,,2,Good condition,,,"€ 1,041",yes,,,,,,,,,,,,'t Zuid,yes,,240 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,no,,,,5 m2,Installed,Not specified,,,yes,yes,35 m2,,€ 175,,95 m2,,,4,2,,,,,,,,,,yes,95 m2,,,no,no,20100101-0000404387-00000006-2 HELP,,"€ 230,000",,,,,no,,yes,yes,2 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,,,,,1968
Avenue des Fauvettes 23        | 1950 - Kraainem,,,,yes,Not specified,Choose your home insurance,,,,,01/02/2018,2,23 m2,15 m2,12 m2,14 m2,,4,Good condition,,,,yes,30 m2,,,,,,,,"2,000 m","2,000 m",,Est et périphérie bruxelloise,,,275 kWh/m2,,Calculate your monthly installment,,,,yes,370 m2,,Gas,,2,no,,,,,USA Hyper-equipped,Not specified,,,,yes,48 m2,,,,170 m2,,,1,4,,,,,,,,1,,Not specified,540 m2,,,Not specified,Not specified,2027230 HELP,,"€ 555,000",,,Residential,1,Not specified,,,yes,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,,,,,1994
Avenue du Gibet 4        | 1200 - Woluwe-Saint-Lambert,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,13 m2,9 m2,21 m2,,,3,As new,70 kg CO2/m2,,"€ 1,797",yes,,,,,,yes,,,,,,Bruxelles (19 communes),yes,,350 kWh/m2,,Calculate your monthly installment,,,,yes,72 m2,,Gas,,2,,,,,,Installed,,,,,yes,44 m2,,,,135 m2,,,3,2,,,,,,,,1,,Not specified,179 m2,,,Not specified,Not specified,,,"€ 385,000",,,Isolated,,Not specified,,,yes,6 m2,,,Insure your mortgage loan,2,,,,,6 m,,,,1957
Rue de la Station de Woluwe 84        | 1200 - Woluwe-Saint-Lambert,,,,yes,Not specified,Choose your home insurance,,,,,01/04/2018,2,18 m2,16 m2,10 m2,18 m2,13 m2,5,To be renovated,136 kg CO2/m2,yes,"€ 1,750",yes,,,yes,,,,,,100 m,,,,,,517 kWh/m2,,Calculate your monthly installment,,,,yes,52 m2,,Fuel,,1,"yes, not conform",,,,10 m2,Hyper-equipped,,,,,yes,30 m2,,,,180 m2,,,2,2,,,,yes,,,,,,Not specified,300 m2,,,Not specified,Not specified,519768-01-6 HELP,,"€ 495,000",,,Urban,2,Not specified,,yes,yes,16 m2,,,Insure your mortgage loan,2,,,,7,7 m,,,,1910
Avenue Montjoie 121/0        | 1180 - Uccle,,,,,Not specified,Choose your home insurance,,,,,19/01/2018,2,,,,,,4,To be renovated,45 kg CO2/m2,,"€ 2,806",,,,,,,yes,,,10 m,50 m,,Bruxelles (19 communes),,,557 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,1,no,,,,,Installed,,,,,yes,,,,,315 m2,,,2,2,,,,,,,,2,,Not specified,256 m2,,,Not specified,Not specified,G HELP,,"€ 895,000",,,Urban,,Not specified,,,yes,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,85,85 m,,,,1928
Rue de Fexhe Slins 91 K        | 4680 - Hermée,,,,yes,Not specified,Choose your home insurance,,,18 m2,,Upon exchange of deeds,2,15 m2,15 m2,15 m2,,,3,As new,,yes,"€ 1,531",,,,yes,,,,,,,,,,yes,,125 kWh/m2,,Calculate your monthly installment,,,,,,,,,,,,,,36 m2,USA Hyper-equipped,,,,,,,,,,200 m2,,,2,4,,,,,,,,1,,Not specified,"1,314 m2",,,Not specified,Not specified,0011172 HELP,,"€ 499,000",,,Urban,,Not specified,,,yes,,"240,446 kWh/year",,Insure your mortgage loan,2,,,,,13 m,,,,2011
Rue d'Aulnoit 59        | 7890 - Ellezelles,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,3,,,,€ 688,,,,,,51,,,,,,,,yes,,198 kWh/m2,,Calculate your monthly installment,,,,yes,400 m2,,Fuel,,1,"yes, not conform",,,,,Hyper-equipped,,,,,,,,,,135 m2,yes,,1,3,,,,,,,,,,Not specified,673 m2,,,Not specified,Not specified,20171114013673 HELP,,"€ 239,000",,,,,Not specified,,,yes,45 m2,198 kWh/year,,Insure your mortgage loan,2,,,,12.5,9 m,,,,2005
Runkstersteenweg 154        | 3500 - Hasselt,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,16 m2,15 m2,5 m2,,,3,Good condition,,,"€ 1,561",yes,,,,,,yes,32 m2,,"1,400 m",550 m,230 m,,yes,,381 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,"yes, not conform",yes,,,10 m2,Semi-equipped,Not specified,,,,,,,,,207 m2,,,3,2,,,,,,Southeast,,,,yes,211 m2,,,no,no,20170321-0001936851-1 HELP,,"€ 240,000",,,Urban,,Not specified,,,yes,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,6,6 m,,,,1941
Avenue Jacques de Meurers 131        | 1150 - Woluwe-Saint-Pierre,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,13 m2,11 m2,5 m2,,,3,To be renovated,133 kg CO2/m2,,€ 981,,,,yes,,,,,,,,,,yes,,728 kWh/m2,,Calculate your monthly installment,,,,yes,35 m2,,Gas,,,"yes, conform",,,,9 m2,Uninstalled,,,,,yes,24 m2,,,,111 m2,,,2,2,,,,,,,,,,Not specified,125 m2,,,Not specified,Not specified,20171123-0000516583-01-1 HELP,,"€ 329,000",,,Residential,1,Not specified,,,yes,12 m2,,,Insure your mortgage loan,1,,,,6,6 m,,,,1952
Vlietlaan 6        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Overeen te komen - A convenir - To be established,1,22 m2,11 m2,,,,2,Good condition,"1,000 kg CO2/m2",,€ 899,,,,,,33,,,,"1,212 m",,272 m,,yes,,310 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,2,"yes, not conform",,,,12 m2,Semi-equipped,"Living area (residential, urban or rural)",,,,yes,34 m2,,,,160 m2,,,,4,,,,,,,,1,,yes,792 m2,,,no,no,20180124-0002026937-1 HELP,,"€ 395,000",,,Residential,,yes,,,yes,25 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,24,,,,,1984
1400 Nivelles        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,3,Good condition,93 kg CO2/m2,,"€ 1,268",yes,,"yes, conform",,,8,,,,,,,,yes,,377 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,6,"yes, not conform",,,,,Installed,,,,,yes,75 m2,,,,234 m2,,,1,3,,,,yes,,South,,3,,Not specified,400 m2,,,Not specified,Not specified,20170523007842 HELP,,"€ 300,000",,,,,Not specified,,,yes,,"88,269 kWh/year",,Insure your mortgage loan,1,,,,20,20 m,,,,1970
1470 BAISY-THY        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,29/01/2018,1,16 m2,19 m2,22 m2,,,3,Good condition,93 kg CO2/m2,,"€ 1,268",yes,,"yes, conform",,,8,,,,,,,,yes,,377 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,6,"yes, not conform",,,,,USA Hyper-equipped,,,,,yes,75 m2,,,,234 m2,,,1,3,,,,yes,4 m2,South,,3,,Not specified,400 m2,,,Not specified,Not specified,20170523007842 HELP,,"€ 320,000",,,Country,,Not specified,,,yes,40 m2,"88,269 kWh/year",,Insure your mortgage loan,1,,,,20,20 m,,,,1970
Pijkstraat 43        | 8790 - Waregem,,,,,no,Choose your home insurance,,,,,,1,15 m2,15 m2,15 m2,,,3,Good condition,,,€ 882,,,,,,,,,,,,,,yes,,505 kWh/m2,,Calculate your monthly installment,,,,,,,Electric,,1,,,,,23 m2,Installed,Not specified,,,,,,,,,165 m2,,,,4,,,,,,West,,4,,Not specified,"1,197 m2",,,Not specified,Not specified,20171201-0002015179-1 HELP,,"€ 449,000",,,,1,Not specified,,,,,,,Insure your mortgage loan,2,,,,,,,,,1986
1490 COURT-SAINT-ÉTIENNE        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,2,,,,,,6,As new,,,"€ 2,957",,,"yes, conform",,,12,,,,,,,,yes,,214 kWh/m2,,Calculate your monthly installment,1,,,yes,"1,200 m2",,Fuel,,2,"yes, conform",,,,,USA Hyper-equipped,,,,,yes,50 m2,,,,325 m2,,,1,4,,,,yes,,,,12,,Not specified,"2,620 m2",,,Not specified,Not specified,,,"€ 645,000",,,,1,Not specified,yes,,yes,20 m2,,,Insure your mortgage loan,4,,,,,16 m,,,,1961
Omstraat 21        | 3620 - Lanaken,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,11 m2,10 m2,6 m2,,,3,To be done up,,,€ 406,,,"yes, conform",,,59,yes,35 m2,,616 m,,285 m,,yes,,743 kWh/m2,,Calculate your monthly installment,,,,,,,Fuel,,,"yes, not conform",,,,7 m2,Semi-equipped,Not specified,,,,yes,35 m2,,,,125 m2,,,2,3,,,,yes,5 m2,North-West,,2,,yes,520 m2,,,no,Not specified,20170830-0001989089-1 HELP,,"€ 165,000",,,Country,,Not specified,,,,,,,Insure your mortgage loan,1,,Possible flood zone,,9,,,,,1958
Rue Lieutenant Simon 14        | 4671 - Saive,,,,yes,Not specified,Choose your home insurance,,,32 m2,,Upon exchange of deeds,1,11 m2,16 m2,13 m2,12 m2,,4,As new,,yes,"€ 1,110",,,,yes,,,,,,,,,,yes,,127 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,,,,,13 m2,Hyper-equipped,,,,,yes,31 m2,,,,210 m2,,,2,4,,,,,,,,1,,Not specified,694 m2,,,Not specified,Not specified,20170801010253 HELP,,"€ 349,000",,,,,Not specified,,,yes,,"28,013 kWh/year",,Insure your mortgage loan,2,,,,,8 m,,,,2010
Vooruitgangstraat 35         | 8310 - ASSEBROEK,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,18 m2,12 m2,12 m2,10 m2,9 m2,5,To be renovated,,,€ 733,yes,26 m2,,,,,,,,,,,,,,791 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,,,,,12 m2,Semi-equipped,Not specified,,,,,,,,,163 m2,,,,3,,,,yes,,,,,,Not specified,494 m2,,,yes,Not specified,2028018 HELP,,"€ 265,000",,,,,yes,,,yes,30 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1955
Vredelaan 110        | 1982 - Zemst Weerde,,,,,Not specified,Choose your home insurance,,,,,31/12/2017,1,12 m2,13 m2,20 m2,,,3,Just renovated,,,€ 664,yes,6 m2,,,,,,,,,500 m,,Brabant flamand,,,335 kWh/m2,,Calculate your monthly installment,,,,yes,200 m2,,,,,"yes, not conform",,,,15 m2,Installed,Not specified,,,,yes,28 m2,,,,140 m2,,,4,3,,,,,,,,1,,Not specified,426 m2,,,Not specified,Not specified,0 HELP,,"€ 329,000",,,Urban,,Not specified,,,yes,45 m2,,,Insure your mortgage loan,2,,,,,5 m,,,,1954
1150 Woluwe-Saint-Pierre        |          Ask for the exact address,,,,,Not specified,Choose your home insurance,,,,,05/12/2017,1,15 m2,16 m2,8 m2,,,3,To be renovated,123 kg CO2/m2,,"€ 2,394",yes,,no,,,,,,,,,,Bruxelles Est,yes,,556 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,2,"yes, not conform",,,,11 m2,Uninstalled,,,,,yes,35 m2,,,,130 m2,,,1,3,,,,,,,,1,,Not specified,350 m2,,,Not specified,Not specified,,,"€ 600,000",,,Isolated,,Not specified,,,yes,20 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,10,7 m,,,,1954
Winkelsestraat 75        | 8860 - Lendelede,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,3,To be renovated,,,€ 260,,,,,,,,,,"1,200 m",,550 m,,,,432 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, not conform",,,,,Semi-equipped,Not specified,,,,,,,,,120 m2,,,,2,,,,,,South,,1,,no,338 m2,,,no,no,20171114-0002010504-1 HELP,,"€ 165,000",,,,,no,,,yes,,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1950
merelstraat 22        | 8490 - Jabbeke,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,3,To be done up,,,€ 897,,,"yes, conform",,,,,,,,,,,yes,,"1,025 kWh/m2",,Calculate your monthly installment,,,,,,,Fuel,,,"yes, not conform",,,,,Semi-equipped,"Living area (residential, urban or rural)",,,,yes,30 m2,,,,125 m2,,,,4,,,,,,,,,,yes,955 m2,,,no,no,,,"€ 249,000",,,,1,yes,,,yes,20 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1969
Karel Van Doorslaerlaan 72        | 2880 - MARIEKERKE,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,19 m2,14 m2,9 m2,,,4,Good condition,,,€ 726,yes,,,,,29,,,,,,,,yes,,365 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, not conform",,,,21 m2,Hyper-equipped,"Living area (residential, urban or rural)",,,,yes,38 m2,,,,190 m2,,,1,4,,,,yes,9 m2,South,,5,,yes,413 m2,,,no,no,,,"€ 395,000",,,,,yes,,,yes,16 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,15,,,,,
Kloosterstraat 43        | 9190 - Stekene,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,14 m2,11 m2,9 m2,9 m2,,4,Good condition,,,"€ 1,115",,,,,,60,,,,,,,,yes,,260 kWh/m2,,Calculate your monthly installment,1,,,yes,988 m2,,Fuel,,2,"yes, not conform",,,,13 m2,Installed,Not specified,,,,yes,50 m2,,,,200 m2,,,,4,,,,yes,9 m2,North,,,,Not specified,"1,213 m2",,,yes,yes,2026292 HELP,,"€ 448,000",,,,,yes,,,yes,20 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,20,,,,,1989
Rue Haute 60        | 6769 - SOMMETHONNE,70,,,,no,Choose your home insurance,,,,,,1,,,,,,3,Good condition,120 kg CO2/m2,,€ 400,yes,,,,,,,,,,,,,yes,,485 kWh/m2,,,,,,,,,Fuel,,1,"yes, conform",,,,,Installed,,,Bare ownership sale,,,,€ 500,,,166 m2,,,,3,1,,,,,North,,,,Not specified,429 m2,,,Not specified,Not specified,20171221018313 HELP,,,,,,,Not specified,,,,,"80,535 kWh/year",,,2,,,"€ 40,000",,,,,,1965
Chants d'Oiseaux 23        | 6791 - Athus,,,,,yes,Choose your home insurance,,,,,01/02/2018,1,16 m2,12 m2,14 m2,36 m2,,4,Good condition,86 kg CO2/m2,,"€ 1,440",yes,,,,,,,,,,,,Joli Bois,yes,,344 kWh/m2,,Calculate your monthly installment,,yes,,yes,400 m2,,Fuel,,3,"yes, not conform",,,,30 m2,Installed,,,,,yes,45 m2,,,,180 m2,,,1,4,,,,,,East,,5,,Not specified,880 m2,,,Not specified,Not specified,20160906001816 HELP,,"€ 299,000",,,Residential,,Not specified,,,yes,50 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,,,,,1976
Avenue De Fré 192-194/0        | 1180 - Uccle,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,2,30 m2,17 m2,13 m2,30 m2,17 m2,6,As new,50 kg CO2/m2,,"€ 9,156",,,,,,67,yes,,,200 m,100 m,,Bruxelles (19 communes),,,194 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,2,no,,,,12 m2,Installed,,,,,yes,56 m2,,,,470 m2,,,2,4,,,,,,,,4,,Not specified,"1,300 m2",,,Not specified,Not specified,D HELP,,"€ 1,500,000",,,Urban,,Not specified,,,yes,50 m2,,,Insure your mortgage loan,4,,Property located in a non-flood zone,,14,,,,,1999
Lijsterstraat 61        | 3530 - Houthalen-Helchteren,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,14 m2,13 m2,5 m2,,,3,Good condition,,,,yes,,,,,,yes,32 m2,,235 m,,194 m,,yes,,,,Calculate your monthly installment,,,,,,,Gas,,1,,,,,15 m2,Installed,Not specified,,,,yes,31 m2,,,,140 m2,,,2,3,,,,,,,,,,Not specified,420 m2,,,no,Not specified,,,"€ 210,000",,,Country,,yes,,,yes,16 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,7 m,,,,1969
7850 Enghien        |          Ask for the exact address,,,,,Not specified,Choose your home insurance,,,,,A l'acte/Bij de akte,1,16 m2,15 m2,,,,2,As new,,yes,,yes,,not specified,yes,,,yes,16 m2,,,,,Enghien,yes,,465 kWh/m2,,Calculate your monthly installment,1,,,yes,302 m2,,Fuel,,2,no,,,,5 m2,Hyper-equipped,,,,,yes,33 m2,,,,142 m2,,,2,2,,,,,,,,1,,Not specified,400 m2,,,Not specified,no,0000000000000000000 HELP,,"€ 360,000",,,Urban,,Not specified,,,yes,,,,Insure your mortgage loan,2,,,,,8 m,,,,1960
Avenue Coghen 78        | 1180 - Uccle,,,,,Not specified,Choose your home insurance,,,,,01/04/2018,2,21 m2,21 m2,13 m2,13 m2,,4,To be renovated,76 kg CO2/m2,,"€ 2,216",yes,,,,,,,,,,,,Bruxelles Sud,,,381 kWh/m2,,Calculate your monthly installment,,,,yes,43 m2,,Gas,,,no,,,,8 m2,Uninstalled,,,,,yes,42 m2,,,,175 m2,,,2,2,,,,,,,,,,Not specified,160 m2,,,Not specified,Not specified,20180115-0000519455-01-4 HELP,,"€ 550,000",,,Residential,2,Not specified,,yes,,,,,Insure your mortgage loan,2,,,,,5·5 m,,,,1931
Rue du Château d'Eau 130        | 1180 - Uccle,,,,,,Choose your home insurance,,,,,Immédiatement,3,20 m2,13 m2,10 m2,11 m2,,4,Just renovated,,,,yes,,not specified,,,,,,,,,,Lycée Français,,,350 kWh/m2,,Calculate your monthly installment,,,,yes,653 m2,,Gas,,,"yes, conform",,,,,Installed,"Living area (residential, urban or rural)",,,,,,,,,250 m2,,,,3,,,4,,,East,,1,,Not specified,1 m2,,,no,no,,,"€ 795,000",,,Residential,3,no,,,,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,,,,,2017
1470 Genappe        |          Ask for the exact address,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,3,To be done up,120 kg CO2/m2,,€ 376,yes,,,,,10,,,,,,,,yes,,504 kWh/m2,,Calculate your monthly installment,,,,,,,Electric,,,"yes, conform",,,,,,,,,,yes,30 m2,,,,177 m2,,,2,2,,,,yes,10 m2,,,,,Not specified,537 m2,,,Not specified,Not specified,20170922003084 HELP,,"€ 215,000",,,,,Not specified,,,,,"21,206 kWh/year",,Insure your mortgage loan,1,,,,5,5 m,,,,1900
