Address,Age of annuitant 1,Age of annuitant 2,Air conditioning,Alarm,As built plan,"As property tenant or owner, insure your real estate: fire, theft, water damage, storm, ...",Asking price excluding VAT and excl. notary fees (excluding eventual registration fees on the ground),Asking price excluding registration fees and excl. notary fees,Attic,Attic accesible with fixed stairs,Available as of,Bathrooms,Bedroom 1 area,Bedroom 2 area,Bedroom 3 area,Bedroom 4 area,Bedroom 5 area,Bedrooms,Building condition,CO₂ emission,Cable TV,Cadastral income,Cellar,Cellar area,Conformity certification for fuel tanks,Connection to sewer network,Current monthly revenue,Depth of plot,Dining room,Dining room area,Disabled access,Distance to school,Distance to shop,Distance to transports,District or place name,Double glazing,Dressing room,EPC - Energy consumption,EPC score,Find the mortgage formula and a borrowing rate that suits you the best!,Fireplaces,Flat land,Furnished,Garden,Garden area,Heat pump,Heating,Indexed annuity,Indoor parking spaces,Inspection report of the electrical installation,Intercom,Isolated attic,Jacuzzi,Kitchen area,Kitchen setup,Latest land use designation,Laundry room,Life annuity type,Lift,Living room,Living room area,Monthly annuity,Monthly charges,Name of the building,Net floor area,Newly built,Number of dwellings,Number of floors,Number of frontages,Number of lives,Number of outbuildings,Number of rooms,Office,Office area,Orientation,Orientation terrace,Outdoor parking spaces,Photovoltaic solar panels,Planning permission obtained,Plot area,Plot to front,Plot to rear,Possible priority purchase right,Proceedings for breach of planning regulations,Reference number of the EPC report,Reinforced door,Requested sale price,Reversionary annuity,Sauna,Setting,Shower rooms,Subdivision permit,Swimming pool,Tenement building,Terrace,Terrace area,Theoretical total energy consumption,Thermic solar panels,"To ensure your payments and your family safety in case of early death, you can take a Decreasing life insurance.",Toilets,Town planning,Type of flood-risk area,Value of the property,Width of plot to street,Width of street façade,Wooded land,Workspace,Workspace area,Year of construction
Rue Camille Van Exter 16        | 1180 - Uccle,,,,,Not specified,Choose your home insurance,,,47 m2,,01/01/2018,2,15 m2,10 m2,10 m2,25 m2,,4,,15 kg CO2/m2,,,yes,,,yes,,,yes,,,,,,Bruxelles Sud,yes,,88 kWh/m2,,Calculate your monthly installment,,,,yes,81 m2,,Gas,,1,"yes, conform",,,,,Hyper-equipped,,,,,yes,47 m2,,"€ 105,278",,191 m2,,,2,2,,,,,,,,1,,yes,"3,110 m2",,,no,no,,yes,"€ 555,000",,,Urban,1,yes,,,yes,13 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,6 m,,,,2017
Avenue du Fond Agny 13        | 1380 - Lasne,,,yes,yes,Not specified,Choose your home insurance,,,,,Immediately,2,,,,,,5,As new,79 kg CO2/m2,yes,,yes,,"yes, conform",yes,,,yes,,yes,"2,000 m","2,000 m",200 m,,yes,yes,317 kWh/m2,,Calculate your monthly installment,1,yes,,,,,,,2,"yes, conform",,,,23 m2,Hyper-equipped,,yes,,,yes,46 m2,,,,413 m2,,,2,4,,2,,yes,,South-West,,4,,Not specified,"3,853 m2",,,Not specified,Not specified,20130617022125 HELP,,"€ 1,149,000",,,Country,2,Not specified,,,yes,100 m2,not specified,,Insure your mortgage loan,3,,,,,,,,,1989
Clos des Salanganes 18        | 1150 - Woluwe-Saint-Pierre,,,,yes,Not specified,Choose your home insurance,,,5 m2,,01/01/2018,3,23 m2,20 m2,19 m2,19 m2,18 m2,7,As new,41 kg CO2/m2,yes,"€ 6,529",yes,10 m2,no,,,,yes,20 m2,,600 m,700 m,,,yes,,190 kWh/m2,,Calculate your monthly installment,,,,yes,500 m2,,Gas,,4,no,yes,,,22 m2,Hyper-equipped,,,,,yes,43 m2,,,,383 m2,,,3,4,,,,yes,,,,4,,no,941 m2,,,Not specified,Not specified,D HELP,yes,"€ 995,000",,,Residential,2,Not specified,,,yes,66 m2,,,Insure your mortgage loan,2,,,,,15 m,,,,1979
"Bredestraat 222,        | 2620 - Hemiksem",,,,,Not specified,Choose your home insurance,,,,,Bij akte / à l'acte,2,15 m2,6 m2,16 m2,13 m2,,4,Good condition,,,€ 676,yes,16 m2,,yes,,45,,,,,,,,yes,,283 kWh/m2,,Calculate your monthly installment,,,,yes,45 m2,,Gas,,,,,,,10 m2,,"Living area (residential, urban or rural)",,,,yes,34 m2,,,,195 m2,,,3,2,,,,,,,,,,no,267 m2,,,no,no,20170628-0001973972-1 HELP,,"€ 269,000",,,,4,no,,,,,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,6,6 m,,,,1967
Rue Alfred Georges 32        | 6042 - Lodelinsart,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,Good condition,,,€ 520,yes,,no,,,,,,,,,,,yes,,462 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,,,,,,Installed,,,,,yes,31 m2,,,,125 m2,,,,2,,,,,,Northeast,,,,Not specified,180 m2,,,Not specified,Not specified,20130602016527 HELP,,"€ 175,000",,,,1,Not specified,,,,,"79,208 kWh/year",,Insure your mortgage loan,2,,,,,,,,,
6211 Mellet        |          Ask for the exact address,,,,yes,no,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,4,Good condition,,,"€ 1,338",yes,,,,,,,,,,,,,yes,,511 kWh/m2,,Calculate your monthly installment,1,,,yes,700 m2,,Electric,,3,,,,,,,,,,,,,,,,226 m2,,,,4,,,,yes,,,,4,,Not specified,"1,683 m2",,,Not specified,Not specified,20170227008732 HELP,,"€ 400,000",,,,1,Not specified,,,yes,,,,Insure your mortgage loan,3,,,,,,,,,1971
Chaussée de Granptinne 68        | 5300 - THON,,,,yes,no,Choose your home insurance,,,,,Upon exchange of deeds,1,41 m2,21 m2,20 m2,16 m2,16 m2,8,Good condition,97 kg CO2/m2,,"€ 1,222",yes,,,,,105,,,,,,,,yes,,393 kWh/m2,,Calculate your monthly installment,,,,yes,"4,839 m2",,Fuel,,2,"yes, not conform",,,,35 m2,,,yes,,,yes,65 m2,,,,339 m2,,,,4,,,,yes,,South,,10,,Not specified,"4,839 m2",,,Not specified,Not specified,20171220004348 HELP,,"€ 455,000",,,Country,1,Not specified,,,yes,30 m2,,,Insure your mortgage loan,3,,,,39,15 m,,,,
Burkweg 24        | 3520 - Zonhoven,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,14 m2,12 m2,10 m2,,,3,Good condition,,,"€ 1,036",,,,,,,yes,24 m2,,151 m,500 m,309 m,,yes,,320 kWh/m2,,Calculate your monthly installment,,,,yes,559 m2,,Gas,,2,"yes, not conform",,,,10 m2,Installed,Not specified,,,,yes,19 m2,,,,185 m2,,,,4,,,,,,Southeast,,2,,yes,740 m2,,,no,no,20110527-0000846714-00000001-7 HELP,,"€ 274,000",,,Residential,,no,,,yes,19 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,18,,,,,1985
Domein De Blinkaart 9        | 8670 - Koksijde,,,,,yes,Choose your home insurance,,,,,Upon exchange of deeds,1,,,,,,2,As new,,,€ 647,,,,,,,,,,,,,,yes,,171 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,,,,,,Installed,Residential recreation area,,,,,,,€ 947,Domein de Blinkaart,,,,1,3,,,,,,South,,1,,yes,174 m2,,,yes,no,EP15501 HELP,,"€ 249,000",,,Fitted out,,Not specified,,,yes,16 m2,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,,,,,,2010
Wansart 17 17/0        | 1180 - Uccle,,,,,Not specified,Choose your home insurance,,,,,11/01/2018,2,18 m2,18 m2,14 m2,10 m2,,5,As new,51 kg CO2/m2,yes,,,,,,,,yes,,,,,,Bruxelles (19 communes),yes,,257 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, not conform",,,,,Installed,,,,,yes,40 m2,,,,220 m2,,,3,2,,,,yes,,,,2,,Not specified,,,,Not specified,Not specified,E HELP,,"€ 780,000",,,Isolated,1,Not specified,,,yes,20 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,,,,,,1963
Erhemstraat 31        | 3770 - Riemst,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,23 m2,18 m2,15 m2,11 m2,,4,To be renovated,,,€ 374,yes,,,,,,,,,"3,000 m","2,000 m",73 m,,yes,,453 kWh/m2,,Calculate your monthly installment,,,,,,,,,,"yes, not conform",,,,51 m2,Semi-equipped,Not specified,,,,,,,,,256 m2,,,2,3,,,,,,Southeast,,3,,yes,560 m2,,,no,no,20141119-0001693711-00000014-6 HELP,,"€ 119,000",,,Country,1,no,,,yes,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,8.6,,,,,1914
Linderstraat 5        | 3700 - Tongeren,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,14 m2,12 m2,,,,2,To be renovated,,,€ 628,yes,,"yes, conform",,,52,,,,"1,000 m",500 m,240 m,,,,411 kWh/m2,,Calculate your monthly installment,,,,yes,310 m2,,Fuel,,,"yes, not conform",,,,9 m2,Semi-equipped,Not specified,,,,yes,26 m2,,,,143 m2,,,,2,,,,,,West,,,,yes,453 m2,,,no,Not specified,20101215-0000716939-00000001-9 HELP,,"€ 129,000",,,Urban,,no,,,,,,,Insure your mortgage loan,1,,Property located in a non-flood zone,,6,6 m,,,,1949
Jodenstraat 70        | 3770 - Riemst,,,,,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,17 m2,16 m2,14 m2,11 m2,,4,To be renovated,,,€ 587,yes,,"yes, conform",,,40,yes,33 m2,,"3,300 m",850 m,30 m,,,,670 kWh/m2,,Calculate your monthly installment,1,,,yes,214 m2,,Fuel,,,"yes, not conform",,,,22 m2,Semi-equipped,Not specified,,,,,,,,,155 m2,,,,2,,,,,,Southeast,,,,yes,339 m2,,,no,no,20170524-0001954163-1 HELP,,"€ 174,000",,,Country,,yes,,,yes,24 m2,,,Insure your mortgage loan,1,,Circumscribed waterside zone,,9,9 m,,,,1961
Duinstraat 121        | 2060 - Antwerp,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,,,,,,,4,Good condition,,,€ 131,yes,,,,,10,,,,,,,,,,"1,068 kWh/m2",,Calculate your monthly installment,,,,,,,Electric,,4,,,,,,,"Living area (residential, urban or rural)",,,,,,,,,150 m2,,,3,2,,,,yes,,North,,,,no,40 m2,,,yes,no,1999184 HELP,,"€ 185,000",,,,3,no,,,,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,4,4 m,,,,1899
